		
№ п/п	Адрес дома	Код дома
159	ул. Марковского, д. 78	1668
160	ул. Марковского, д. 80	1724
161	ул. Марковского, д. 9	1270
162	ул. Марковского/Кирова, д. 73 / 37	1678
163	ул. Обороны, д. 2 а	1680
164	ул. Обороны, д. 2 б	1477
165	ул. Парижской Коммуны, д. 10	1415
166	ул. Парижской Коммуны, д. 14	1735
167	ул. Парижской Коммуны, д. 15	1703
168	ул. Парижской Коммуны, д. 3	1600
169	ул. Парижской Коммуны, д. 40	1274
170	ул. Парижской Коммуны, д. 42 а	1284
171	ул. Парижской Коммуны, д. 44	1275
172	ул. Парижской Коммуны, д. 8 а	1789
173	ул. Парижской Коммуны/Урицкого, д. 5 / 39	1558
174	ул. Перенсона, д. 5 а	1800
175	ул. Перенсона, д. 9	1288
176	ул. Перенсона/Лебедевой, д. 38 / 49	1663
177	ул. Республики, д. 41	1688
178	ул. Республики, д. 42	1706
179	ул. Республики, д. 43	1608
180	ул. Республики, д. 44	1689
181	ул. Сурикова, д. 3	1555
182	ул. Сурикова, д. 35	1728
183	ул. Сурикова, д. 36	1630
184	ул. Сурикова, д. 4	1299
185	ул. Сурикова, д. 45	1412
186	ул. Сурикова, д. 47	1413
187	ул. Сурикова, д. 53	1300
188	ул. Сурикова, д. 54 а	1285
189	ул. Сурикова, д. 6	1292
190	ул. Сурикова/Урицкого, д. 17 / 58	1499
191	ул. Урицкого, д. 100	1554
192	ул. Урицкого, д. 108	1586
193	ул. Урицкого, д. 115	1295
194	ул. Урицкого, д. 120	1764
195	ул. Урицкого, д. 124	1672
196	ул. Урицкого, д. 125	1277
197	ул. Урицкого, д. 125 а	1694
198	ул. Урицкого, д. 129	1696
199	ул. Урицкого, д. 24	1605
200	ул. Урицкого, д. 40	1273
201	ул. Урицкого, д. 41	1500
202	ул. Урицкого, д. 47	1414
203	ул. Урицкого, д. 50	1802
204	ул. Урицкого, д. 51	1559
205	ул. Урицкого, д. 98	1289
